"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1","2","22","6","20","4","26","8","24","14","16","12","30","34","32","36","38","44","18","28"
"2","2","20","22","24","4","6","26","8","16","14","30","44","12","18","34","32","28","38","36"
"3","2","20","22","4","24","6","8","26","16","14","30","44","12","28","34","32","36","38",""
"4","2","22","20","24","4","6","8","26","16","30","44","12","14","28","34","36","32","38",""
"5","22","2","20","24","4","6","8","26","16","12","44","30","14","28","36","34","32","38",""
"6","22","2","20","4","24","6","26","8","16","12","44","14","28","34","36","32","38","",""
"7","22","2","20","4","6","24","26","8","16","12","44","14","28","36","34","32","38","",""
"8","22","2","20","6","24","4","26","8","16","12","44","14","28","36","38","32","34","",""
"9","22","2","20","6","24","26","4","8","16","12","14","44","28","36","38","34","","",""
"10","22","2","20","6","24","26","4","8","12","14","16","44","28","36","38","34","","",""
"11","22","20","6","24","26","2","4","8","12","14","16","44","28","36","34","38","","",""
"12","22","20","6","24","26","2","4","8","12","14","16","44","28","36","34","38","","",""
"13","22","20","6","24","26","2","4","8","12","14","16","44","28","36","34","38","","",""
"14","22","20","6","2","24","26","4","8","12","16","14","44","28","36","34","38","","",""
"15","22","20","6","2","24","26","4","8","12","16","14","28","44","36","34","38","","",""
"16","22","20","2","24","26","4","6","8","12","16","14","28","44","36","34","38","","",""
"17","22","20","2","26","24","4","6","8","12","16","14","28","44","34","36","38","","",""
"18","22","20","26","24","2","4","6","8","12","16","14","28","34","36","44","38","","",""
"19","22","20","24","4","6","2","8","26","12","14","16","28","34","36","44","38","","",""
"20","22","20","24","4","6","2","8","26","12","14","16","28","34","36","44","38","","",""
"21","22","20","24","6","4","2","8","26","14","16","28","34","36","44","38","12","","",""
"22","22","20","6","24","4","2","8","26","16","28","14","34","36","44","38","12","","",""
"23","22","20","6","24","4","2","8","26","16","28","14","34","36","44","38","12","","",""
"24","22","20","6","24","4","2","8","26","16","28","14","34","36","44","38","12","","",""
"25","22","20","6","24","4","2","8","26","16","28","14","34","36","44","12","","","",""
"26","22","20","6","4","24","2","8","26","16","28","14","34","36","44","12","","","",""
"27","22","20","6","4","24","2","8","26","16","28","14","34","36","44","","","","",""
"28","22","20","6","4","24","2","8","26","16","28","14","34","36","44","","","","",""
"29","22","20","6","4","24","8","2","26","16","28","14","34","36","44","","","","",""
"30","22","20","6","4","24","8","2","26","16","28","14","34","36","44","","","","",""
"31","22","20","6","4","24","8","2","26","16","28","14","34","36","44","","","","",""
"32","22","20","6","4","24","2","26","16","28","14","34","36","44","","","","","",""
"33","22","20","6","4","2","24","26","16","28","14","34","36","44","","","","","",""
"34","22","20","6","4","2","24","26","28","16","34","14","36","44","","","","","",""
"35","22","20","6","4","2","24","26","28","16","34","14","36","44","","","","","",""
"36","22","20","6","4","2","24","26","28","16","34","36","14","44","","","","","",""
"37","22","20","6","4","2","24","26","28","16","34","36","14","44","","","","","",""
"38","22","20","6","2","24","4","26","28","16","34","14","36","44","","","","","",""
"39","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"40","22","20","6","2","24","26","4","28","16","34","14","44","","","","","","",""
"41","22","20","6","2","24","26","4","28","16","34","14","44","","","","","","",""
"42","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"43","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"44","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"45","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"46","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"47","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"48","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"49","22","20","6","2","24","4","26","28","16","34","14","44","","","","","","",""
"50","22","20","6","2","24","26","28","34","14","44","","","","","","","","",""
"51","22","20","6","2","24","26","28","34","14","44","","","","","","","","",""
"52","22","20","6","2","24","26","28","34","14","44","","","","","","","","",""
"53","22","20","6","2","24","26","28","34","14","44","","","","","","","","",""
"54","22","20","6","2","24","26","28","34","14","44","","","","","","","","",""
"55","22","20","6","2","24","26","28","34","14","44","","","","","","","","",""
"56","22","6","20","2","24","26","28","34","14","44","","","","","","","","",""
"57","22","6","20","2","24","26","28","34","14","44","","","","","","","","",""
"58","22","6","20","2","24","26","28","34","14","44","","","","","","","","",""
"59","22","6","20","2","24","26","28","34","14","44","","","","","","","","",""
"60","22","6","20","2","24","26","28","34","14","44","","","","","","","","",""
"61","22","6","20","2","24","26","28","34","14","44","","","","","","","","",""
"62","22","6","20","2","24","26","28","34","14","","","","","","","","","",""
"63","22","6","20","2","24","26","28","34","14","","","","","","","","","",""
"64","22","6","20","2","24","26","28","34","14","","","","","","","","","",""
"65","22","6","20","2","24","26","28","","","","","","","","","","","",""
"66","22","6","20","2","24","26","","","","","","","","","","","","",""
"67","22","6","20","2","24","26","","","","","","","","","","","","",""
"68","22","6","20","2","24","","","","","","","","","","","","","",""
"69","22","6","20","2","24","","","","","","","","","","","","","",""
"70","22","6","20","","","","","","","","","","","","","","","",""
"71"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
