"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","6","8","12","14","4","2","10","18","36","16","30","32","22","28","20","34","26","38","24","","","","","",""
"2","8","4","6","18","10","12","14","36","16","2","32","28","22","30","20","26","38","34","50","52","54","56","60","58","24"
"3","8","4","6","18","10","12","14","2","36","16","32","28","22","20","30","34","26","38","50","52","54","56","60","58","24"
"4","8","6","18","4","10","12","14","2","36","16","32","22","28","20","30","34","38","50","26","52","54","56","60","58","24"
"5","8","6","18","4","10","12","14","2","36","16","22","32","28","20","30","34","38","50","52","54","26","56","60","58","24"
"6","8","6","4","18","10","12","14","2","36","16","22","32","20","28","30","34","38","50","52","54","56","26","60","58","24"
"7","8","6","4","18","10","12","14","2","36","16","22","32","20","28","30","34","38","50","52","54","56","26","60","58","24"
"8","8","4","6","18","10","12","14","2","36","16","22","20","28","32","30","34","38","50","52","54","56","26","60","58","24"
"9","8","4","6","18","10","12","14","2","36","16","22","20","28","32","30","34","38","50","52","54","56","26","60","58","24"
"10","8","4","6","18","10","14","12","2","16","36","22","20","28","32","30","34","38","50","52","54","56","26","60","58","24"
"11","8","4","6","18","10","14","2","12","16","22","20","28","32","30","34","38","50","52","54","56","26","60","58","24",""
"12","8","4","6","18","10","14","2","12","16","22","20","28","30","34","38","50","52","54","56","26","60","58","32","24",""
"13","8","4","6","18","10","14","2","12","16","22","20","28","30","34","38","50","52","54","56","26","60","58","32","24",""
"14","8","4","6","10","18","2","14","12","16","22","20","28","30","34","38","50","52","54","56","26","60","58","32","24",""
"15","8","4","6","10","18","2","14","12","16","22","20","28","30","34","38","50","52","54","56","26","60","58","32","24",""
"16","8","4","6","10","18","2","14","12","16","22","20","28","30","34","38","50","52","54","56","26","60","58","32","24",""
"17","8","4","6","10","18","2","14","12","16","22","28","30","34","38","50","52","54","56","26","60","58","32","","",""
"18","8","4","6","10","18","2","14","12","16","22","28","34","30","38","50","52","54","56","26","60","58","32","","",""
"19","8","4","6","10","18","2","14","12","16","22","28","34","30","38","50","52","54","56","26","60","58","32","","",""
"20","8","4","10","6","18","2","14","12","16","22","28","34","30","38","50","52","54","56","26","60","58","32","","",""
"21","8","4","10","6","18","2","14","12","16","22","28","34","30","38","50","52","54","56","26","60","58","32","","",""
"22","8","4","10","6","18","2","14","12","16","22","28","34","30","38","50","54","56","26","52","60","58","32","","",""
"23","8","4","10","6","18","2","14","12","22","16","28","30","34","38","50","54","56","26","52","60","58","32","","",""
"24","8","4","10","6","18","2","14","12","22","16","28","30","34","38","50","54","56","26","52","60","58","32","","",""
"25","8","4","10","6","18","2","14","12","22","16","28","30","34","38","50","54","56","26","52","60","58","32","","",""
"26","8","4","10","6","18","2","12","14","22","16","28","30","34","38","50","54","56","26","52","60","58","32","","",""
"27","8","4","6","10","18","2","12","14","16","22","28","30","34","38","50","54","56","26","52","60","58","32","","",""
"28","8","4","6","10","18","2","12","16","22","28","30","34","38","50","54","56","26","52","60","58","32","","","",""
"29","8","4","10","6","18","2","12","16","22","28","30","34","38","50","54","56","26","52","60","58","32","","","",""
"30","8","4","6","10","18","2","12","16","22","28","30","34","38","50","54","56","26","52","60","58","32","","","",""
"31","8","4","6","18","12","16","22","28","30","34","38","50","54","56","26","52","60","58","32","","","","","",""
"32","8","4","6","18","12","16","22","28","30","34","38","50","54","26","52","60","58","32","","","","","","",""
"33","8","4","6","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"34","8","4","6","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"35","8","4","6","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"36","8","4","6","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"37","8","4","6","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"38","8","4","6","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"39","8","4","6","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"40","8","6","4","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"41","8","6","4","18","12","16","22","28","30","34","38","50","26","52","60","58","32","","","","","","","",""
"42","8","6","4","18","12","16","22","28","30","38","34","50","26","52","60","58","32","","","","","","","",""
"43","8","6","4","18","16","22","28","30","38","34","50","26","52","60","58","32","","","","","","","","",""
"44","8","6","4","18","16","22","28","30","38","34","50","26","52","58","60","32","","","","","","","","",""
"45","8","6","4","18","16","22","28","30","38","34","50","26","52","58","60","32","","","","","","","","",""
"46","8","6","4","18","16","22","28","30","38","34","50","26","52","58","60","32","","","","","","","","",""
"47","8","6","4","18","16","22","28","30","38","34","50","26","52","58","60","","","","","","","","","",""
"48","8","6","4","18","16","22","28","30","38","34","50","26","52","58","60","","","","","","","","","",""
"49","8","6","4","18","16","22","28","30","38","34","50","26","52","58","60","","","","","","","","","",""
"50","8","6","4","18","16","22","28","30","38","34","50","","","","","","","","","","","","","",""
"51","8","6","4","18","16","22","28","30","38","","","","","","","","","","","","","","","",""
"52","8","6","4","18","16","22","28","","","","","","","","","","","","","","","","","",""
"53","8","6","4","18","16","22","","","","","","","","","","","","","","","","","","",""
"54"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
