"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","2","24","6","8","4","22","10","14","12","28","16","20","18","32","30"
"2","2","24","22","10","6","8","14","4","28","12","16","32","20","30","18"
"3","24","2","10","22","6","8","14","4","28","12","32","16","20","30","18"
"4","24","2","22","10","6","8","28","4","14","12","32","16","20","30","18"
"5","24","2","22","10","8","6","28","4","12","14","32","20","16","30","18"
"6","24","2","22","8","10","6","28","4","12","14","32","16","20","30","18"
"7","24","2","22","8","6","10","28","12","4","14","16","32","20","30","18"
"8","24","2","22","8","6","10","28","12","4","14","16","32","20","18",""
"9","2","24","8","22","6","28","10","12","14","4","16","20","32","18",""
"10","2","24","8","22","6","28","10","12","14","4","16","20","32","18",""
"11","2","24","8","22","6","28","10","12","14","4","16","20","18","",""
"12","2","24","8","22","6","28","10","12","4","14","16","20","18","",""
"13","2","24","8","22","6","28","10","12","4","14","16","20","18","",""
"14","2","24","8","22","6","28","12","10","4","14","16","20","18","",""
"15","2","24","8","22","6","28","12","10","4","14","16","20","18","",""
"16","2","24","8","6","22","28","12","10","4","14","16","20","18","",""
"17","2","24","8","6","22","28","12","10","4","14","20","16","","",""
"18","2","24","8","6","22","28","12","4","10","14","20","16","","",""
"19","2","24","8","6","22","28","12","4","10","14","20","16","","",""
"20","2","24","8","6","22","28","12","4","10","14","20","16","","",""
"21","2","24","8","6","22","28","4","12","10","14","20","16","","",""
"22","2","24","8","6","22","28","4","12","10","14","20","16","","",""
"23","2","24","8","6","22","28","4","12","10","14","20","16","","",""
"24","2","24","8","6","22","28","4","12","10","14","20","16","","",""
"25","2","24","8","6","28","22","4","12","10","14","20","16","","",""
"26","2","24","8","6","28","22","4","12","10","14","20","16","","",""
"27","2","24","8","6","28","22","4","12","10","14","16","","","",""
"28","2","24","8","6","22","28","4","12","10","14","16","","","",""
"29","2","24","8","6","22","28","4","10","14","12","16","","","",""
"30","2","24","8","6","22","28","4","14","10","12","16","","","",""
"31","2","24","8","6","22","4","28","14","10","12","16","","","",""
"32","2","24","8","6","22","4","28","14","10","12","16","","","",""
"33","2","24","8","6","22","4","28","14","10","12","16","","","",""
"34","2","24","8","6","4","22","28","10","14","12","16","","","",""
"35","2","24","8","6","4","22","28","10","14","12","16","","","",""
"36","2","8","24","6","4","22","28","10","14","12","16","","","",""
"37","2","8","24","6","4","22","28","10","14","12","16","","","",""
"38","2","8","24","6","22","28","10","14","12","16","4","","","",""
"39","2","8","24","6","22","28","10","14","12","16","","","","",""
"40","2","8","24","6","22","28","10","14","12","16","","","","",""
"41","2","8","24","6","22","28","10","14","12","16","","","","",""
"42","2","8","24","6","22","28","10","14","12","16","","","","",""
"43","2","24","8","6","22","28","10","14","12","16","","","","",""
"44","2","24","8","6","22","28","10","14","12","16","","","","",""
"45","2","24","8","6","22","28","10","14","12","16","","","","",""
"46","2","24","8","6","22","28","10","14","12","16","","","","",""
"47","2","24","6","8","22","28","10","14","12","16","","","","",""
"48","2","24","6","8","22","28","10","14","12","","","","","",""
"49","2","24","6","8","22","10","14","12","","","","","","",""
"50","2","24","6","8","22","10","","","","","","","","",""
"51"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
