"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","7","8","19","2","6","4","5","10","9","3","12","11","18","14","16","17","15","1"
"2","7","8","9","5","10","6","3","12","19","4","16","15","14","1","2","17","11",""
"3","7","8","9","10","3","5","6","12","4","19","15","16","14","1","2","17","",""
"4","7","8","9","3","10","5","6","12","4","19","15","16","14","2","1","17","",""
"5","7","8","9","3","10","6","4","5","12","19","15","2","14","16","1","17","",""
"6","7","8","9","3","10","6","4","5","12","2","15","14","1","19","17","16","",""
"7","8","9","3","10","6","4","5","12","2","15","14","1","17","19","16","","",""
"8","8","9","3","10","6","4","5","12","2","15","14","1","17","16","","","",""
"9","8","9","3","10","6","4","12","5","2","1","17","14","","","","","",""
"10","8","9","3","6","4","12","2","10","1","17","5","14","","","","","",""
"11","8","9","3","4","6","12","2","10","1","17","14","","","","","","",""
"12","8","9","3","4","6","2","12","10","1","17","14","","","","","","",""
"13","8","9","3","4","6","2","12","10","1","17","14","","","","","","",""
"14","8","9","3","4","6","2","12","10","1","17","","","","","","","",""
"15","8","9","3","4","6","2","12","10","1","17","","","","","","","",""
"16","8","9","3","4","6","2","12","10","1","17","","","","","","","",""
"17","8","9","3","4","6","2","12","10","1","17","","","","","","","",""
"18","8","9","3","4","6","2","12","10","1","17","","","","","","","",""
"19","8","9","3","4","6","2","12","10","1","17","","","","","","","",""
"20","8","9","3","4","6","2","12","10","1","17","","","","","","","",""
"21","8","9","4","6","3","2","12","10","1","17","","","","","","","",""
"22","8","9","4","6","3","2","12","10","17","1","","","","","","","",""
"23","8","9","4","6","2","3","12","10","17","","","","","","","","",""
"24","8","9","4","6","2","12","3","10","17","","","","","","","","",""
"25","8","9","6","4","2","12","10","17","","","","","","","","","",""
"26","8","9","6","4","2","10","17","","","","","","","","","","",""
"27","8","9","6","4","2","10","17","","","","","","","","","","",""
"28","8","9","6","4","2","10","17","","","","","","","","","","",""
"29","8","9","6","4","2","10","17","","","","","","","","","","",""
"30","8","9","6","4","2","10","17","","","","","","","","","","",""
"31","8","9","6","4","2","10","17","","","","","","","","","","",""
"32","8","9","6","4","2","10","17","","","","","","","","","","",""
"33","8","9","6","4","2","10","17","","","","","","","","","","",""
"34","8","9","6","4","2","10","17","","","","","","","","","","",""
"35","8","9","6","4","2","10","17","","","","","","","","","","",""
"36","8","9","6","4","2","10","17","","","","","","","","","","",""
"37","8","9","6","4","2","10","17","","","","","","","","","","",""
"38","8","9","6","4","2","10","17","","","","","","","","","","",""
"39","8","9","6","2","10","4","17","","","","","","","","","","",""
"40","8","9","6","2","10","","","","","","","","","","","","",""
"41","8","9","6","2","","","","","","","","","","","","","",""
"42","8","9","6","2","","","","","","","","","","","","","",""
"43"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
